City,Rent,Food,Transportation,Groceries,Utilities,Clothing,Leisure
Mumbai,,,,,,,
Delhi,,,,,,,
Bangalore,,,,,,,
Hyderabad,,,,,,,
Chennai,,,,,,,
Pune,,,,,,,
Kolkata,,,,,,,
Ahmedabad,,,,,,,
